iso,country,wb_region,income_group
LBN,Lebanon,Middle East & North Africa,Upper middle income
LBR,Liberia,Sub-Saharan Africa,Low income
LBY,Libya,Middle East & North Africa,Upper middle income
LCA,St. Lucia,Latin America & Caribbean,Upper middle income
LIE,Liechtenstein,Europe & Central Asia,High income
LKA,Sri Lanka,South Asia,Lower middle income
LSO,Lesotho,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,Europe & Central Asia,High income
LUX,Luxembourg,Europe & Central Asia,High income
LVA,Latvia,Europe & Central Asia,High income
MAC,"Macao SAR, China",East Asia & Pacific,High income
MAF,St. Martin (French part),Latin America & Caribbean,High income
MAR,Morocco,Middle East & North Africa,Lower middle income
MCO,Monaco,Europe & Central Asia,High income
MDA,Moldova,Europe & Central Asia,Upper middle income
MDG,Madagascar,Sub-Saharan Africa,Low income
MDV,Maldives,South Asia,Upper middle income
MEX,Mexico,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,East Asia & Pacific,Upper middle income
MKD,North Macedonia,Europe & Central Asia,Upper middle income
MLI,Mali,Sub-Saharan Africa,Low income
MLT,Malta,Middle East & North Africa,High income
MMR,Myanmar,East Asia & Pacific,Lower middle income
MNE,Montenegro,Europe & Central Asia,Upper middle income
MNG,Mongolia,East Asia & Pacific,Lower middle income
MNP,Northern Mariana Islands,East Asia & Pacific,High income
MOZ,Mozambique,Sub-Saharan Africa,Low income
MRT,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,Sub-Saharan Africa,Upper middle income
MWI,Malawi,Sub-Saharan Africa,Low income
MYS,Malaysia,East Asia & Pacific,Upper middle income
NAM,Namibia,Sub-Saharan Africa,Upper middle income
NCL,New Caledonia,East Asia & Pacific,High income
NER,Niger,Sub-Saharan Africa,Low income
NGA,Nigeria,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,Latin America & Caribbean,Lower middle income
NLD,Netherlands,Europe & Central Asia,High income
NOR,Norway,Europe & Central Asia,High income
NPL,Nepal,South Asia,Lower middle income
NRU,Nauru,East Asia & Pacific,High income
NZL,New Zealand,East Asia & Pacific,High income
OMN,Oman,Middle East & North Africa,High income
PAK,Pakistan,South Asia,Lower middle income
PAN,Panama,Latin America & Caribbean,Upper middle income
PER,Peru,Latin America & Caribbean,Upper middle income
PHL,Philippines,East Asia & Pacific,Lower middle income
PLW,Palau,East Asia & Pacific,High income
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income
POL,Poland,Europe & Central Asia,High income
PRI,Puerto Rico,Latin America & Caribbean,High income
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income
PRT,Portugal,Europe & Central Asia,High income
PRY,Paraguay,Latin America & Caribbean,Upper middle income
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income
PYF,French Polynesia,East Asia & Pacific,High income
QAT,Qatar,Middle East & North Africa,High income
ROU,Romania,Europe & Central Asia,Upper middle income
RUS,Russian Federation,Europe & Central Asia,Upper middle income
RWA,Rwanda,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,Middle East & North Africa,High income
SDN,Sudan,Sub-Saharan Africa,Low income
SEN,Senegal,Sub-Saharan Africa,Lower middle income
SGP,Singapore,East Asia & Pacific,High income
SLB,Solomon Islands,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,Sub-Saharan Africa,Low income
SLV,El Salvador,Latin America & Caribbean,Lower middle income
SMR,San Marino,Europe & Central Asia,High income
SOM,Somalia,Sub-Saharan Africa,Low income
SRB,Serbia,Europe & Central Asia,Upper middle income
SSD,South Sudan,Sub-Saharan Africa,Low income
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income
SUR,Suriname,Latin America & Caribbean,Upper middle income
SVK,Slovak Republic,Europe & Central Asia,High income
SVN,Slovenia,Europe & Central Asia,High income
SWE,Sweden,Europe & Central Asia,High income
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income
SYC,Seychelles,Sub-Saharan Africa,High income
SYR,Syrian Arab Republic,Middle East & North Africa,Low income
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income
TCD,Chad,Sub-Saharan Africa,Low income
TGO,Togo,Sub-Saharan Africa,Low income
THA,Thailand,East Asia & Pacific,Upper middle income
TJK,Tajikistan,Europe & Central Asia,Lower middle income
TKM,Turkmenistan,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,East Asia & Pacific,Lower middle income
TON,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,Tunisia,Middle East & North Africa,Lower middle income
TUR,Turkey,Europe & Central Asia,Upper middle income
TUV,Tuvalu,East Asia & Pacific,Upper middle income
TWN,"Taiwan, China",East Asia & Pacific,High income
TZA,Tanzania,Sub-Saharan Africa,Lower middle income
UGA,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe & Central Asia,Lower middle income
URY,Uruguay,Latin America & Caribbean,High income
USA,United States,North America,High income
UZB,Uzbekistan,Europe & Central Asia,Lower middle income
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
VEN,"Venezuela, RB",Latin America & Caribbean,
VGB,British Virgin Islands,Latin America & Caribbean,High income
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income
VNM,Vietnam,East Asia & Pacific,Lower middle income
VUT,Vanuatu,East Asia & Pacific,Lower middle income
WSM,Samoa,East Asia & Pacific,Lower middle income
XKX,Kosovo,Europe & Central Asia,Upper middle income
YEM,"Yemen, Rep.",Middle East & North Africa,Low income
ZAF,South Africa,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income
